i(v_s_1_4),v(d_1_4)
0,0
3.89891E-08,0.2
3.94404E-08,0.3
3.98121E-08,0.4
4.01648E-08,0.5
4.05106E-08,0.6
4.08535E-08,0.7
4.11948E-08,0.8
4.15352E-08,0.9
4.18751E-08,1
4.22147E-08,1.1
4.25541E-08,1.2
4.28933E-08,1.3
4.32324E-08,1.4
4.35714E-08,1.5
4.39104E-08,1.6
