vgs,cgg_23_1,cgg_23_2
-2,0.000148152,0.000146137
-1.9,0.000148259,0.000146097
-1.85,0.000148314,0.000146076
-1.8,0.00014837,0.000146056
-1.75,0.000148426,0.000146037
-1.7,0.000148482,0.000146018
-1.65,0.000148539,0.000146002
-1.6,0.000148596,0.000145987
-1.55,0.000148653,0.000145975
-1.5,0.000148711,0.000145968
-1.45,0.000148769,0.000145966
-1.4,0.000148827,0.000145972
-1.35,0.000148885,0.000145987
-1.3,0.000148943,0.000146013
-1.25,0.000149001,0.000141413
-1.2,0.000149059,0.000129702
-1.15,0.000149117,0.000108694
-1.1,0.000149176,8.67273E-05
-1.05,0.000149236,7.1065E-05
-1,0.000149297,6.10375E-05
-0.95,0.000149359,5.44658E-05
-0.9,0.000149425,4.99367E-05
-0.85,0.000149494,4.66704E-05
-0.8,0.00014957,4.42324E-05
-0.75,0.000149653,4.23693E-05
-0.7,0.000149746,4.09262E-05
-0.65,0.000149855,3.98049E-05
-0.6,0.000149982,3.89415E-05
-0.55,0.000150135,3.82937E-05
-0.5,0.00015032,3.78343E-05
-0.45,0.000150548,3.75466E-05
-0.4,0.000150829,3.74215E-05
-0.35,0.000151176,3.74557E-05
-0.3,0.000151602,3.7649E-05
-0.25,0.000152117,3.80011E-05
-0.2,0.000152724,3.85057E-05
-0.15,0.00015341,3.91416E-05
-0.1,0.000154136,3.98637E-05
-0.05,0.000154129,4.05084E-05
1.20737E-15,0.000153987,4.10855E-05
0.05,0.000153702,4.15371E-05
0.1,0.000153255,4.18414E-05
0.15,0.000152666,4.20181E-05
0.2,0.000151974,4.21096E-05
0.25,0.000151219,4.21633E-05
0.3,0.000150435,4.22254E-05
0.35,0.000149646,4.23407E-05
0.4,0.000148867,4.25573E-05
0.45,0.000148109,4.29321E-05
0.5,0.000147379,4.35365E-05
0.55,0.000146681,4.44621E-05
0.6,0.000146017,4.58255E-05
0.65,0.000145388,4.77697E-05
0.7,0.000144794,5.04583E-05
0.75,0.000144233,5.40563E-05
0.8,0.000143706,5.86944E-05
0.85,0.00014321,6.44189E-05
0.9,0.000142742,7.11435E-05
0.95,0.000142301,7.86268E-05
1,0.000141883,8.64972E-05
1.05,0.000141487,9.43233E-05
1.1,0.000141108,0.000101703
1.15,0.000140745,0.000108335
1.2,0.000140395,0.000114051
1.25,0.000140057,0.000118808
1.3,0.000139728,0.000122653
1.35,0.000139407,0.00012569
1.4,0.000139093,0.000128041
1.45,0.000138785,0.000129831
1.5,0.000138482,0.000131173
1.55,0.000138184,0.000132161
1.6,0.000137889,0.000132876
1.65,0.000137597,0.000133378
1.7,0.000137308,0.000133718
1.75,0.000137022,0.000133932
1.8,0.000136739,0.00013405
1.85,0.000136459,0.000134094
1.9,0.000136181,0.000134081
1.95,0.000135906,0.000134024
2,0.000135634,0.000133934
