 v-sweep         v(g_10_4)       i(v_s_14_2)     i(v_s_16_2)     i(v_s_11_2)     i(v_s_17_2)     v(g_10_1)       v(g_11_0)       v(g_11_2)       v(g_16_4)       i(v_s_18_3)     v(g_11_1)       i(v_s_10_3)     v(g_12_1)       i(v_s_15_1)     v(g_16_2)       i(v_s_17_1)     v(g_13_0)       i(v_s_16_3)     v(g_14_0)       v(g_13_3)       i(v_s_11_0)     i(v_s_11_1)     v(g_18_3)       v(g_19_0)       i(v_s_14_1)     i(v_s_12_1)     i(v_s_11_4)     i(v_s_13_0)     v(g_12_4)       v(g_17_3)       v(g_14_1)       i(v_s_16_4)     i(v_s_10_0)     i(v_s_14_3)     v(g_19_1)       i(v_s_19_2)     i(v_s_14_4)     i(v_s_12_4)     v(g_13_1)       i(v_s_13_4)     v(g_14_4)       v(g_15_4)       i(v_s_17_3)     v(g_14_2)       i(v_s_15_4)     i(v_s_15_2)     i(v_s_15_3)     v(g_12_3)       v(g_18_2)       v(g_14_3)       v(g_11_4)       v(g_15_2)       i(v_s_15_0)     v(g_12_2)       i(v_s_18_4)     v(g_18_1)       i(v_s_14_0)     v(g_16_0)       v(g_19_2)       v(g_10_3)       i(v_s_19_0)     v(g_19_3)       i(v_s_18_0)     v(g_16_1)       i(v_s_19_4)     v(g_17_4)       i(v_s_12_2)     v(g_17_0)       i(v_s_17_0)     i(v_s_19_3)     i(v_s_19_1)     i(v_s_17_4)     v(g_15_0)       i(v_s_18_2)     v(g_17_2)       v(g_10_0)       v(g_18_4)       v(g_15_3)       v(g_13_4)       i(v_s_10_1)     i(v_s_13_3)     v(g_10_2)       i(v_s_13_1)     i(v_s_10_4)     v(g_13_2)       v(g_18_0)       v(g_15_1)       i(v_s_11_3)     i(v_s_12_0)     i(v_s_10_2)     i(v_s_12_3)     v(g_17_1)       v(g_12_0)       i(v_s_18_1)     i(v_s_13_2)     i(v_s_16_1)     i(v_s_16_0)     v(g_11_3)       v(g_16_3)       v(g_19_4)      
 5.00000000e-01  5.00000000e-01  2.54182100e-11  1.14499942e-09  4.70699431e-09  7.55705269e-09  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  1.80820013e-09  5.00000000e-01  5.15003135e-09  5.00000000e-01  2.69856859e-11  5.00000000e-01  1.18834226e-09  5.00000000e-01  8.27502811e-09  5.00000000e-01  5.00000000e-01  1.31674041e-10  7.43859983e-10  5.00000000e-01  5.00000000e-01  3.14522241e-12  6.06276929e-11  2.43155696e-07  7.09811467e-11  5.00000000e-01  5.00000000e-01  5.00000000e-01  6.55336353e-08  1.91704591e-11  2.04684911e-10  5.00000000e-01  1.62385811e-09  1.97892338e-09  2.37243835e-08  5.00000000e-01  1.49280837e-07  5.00000000e-01  5.00000000e-01  5.40407845e-08  5.00000000e-01  1.39008928e-08  1.83591720e-10  1.45029029e-09  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  3.81741928e-12  5.00000000e-01  1.45122884e-08  5.00000000e-01 -3.24818874e-13  5.00000000e-01  5.00000000e-01  5.00000000e-01  4.41968128e-11  5.00000000e-01  5.87123019e-12  5.00000000e-01  8.96914275e-08  5.00000000e-01  3.94175017e-10  5.00000000e-01  2.10344094e-10  1.17025717e-08  2.53971801e-10  4.07057398e-07  5.00000000e-01  2.48117302e-10  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  1.12772339e-10  1.89715343e-08  5.00000000e-01  4.05820794e-10  3.99363416e-08  5.00000000e-01  5.00000000e-01  5.00000000e-01  3.32405982e-08  9.83778211e-12  7.20288761e-10  2.89871957e-09  5.00000000e-01  5.00000000e-01  3.80824882e-11  2.60417732e-09  1.78765466e-10  3.08205178e-11  5.00000000e-01  5.00000000e-01  5.00000000e-01 
 6.00000000e-01  6.00000000e-01  7.72370356e-10  2.89570806e-08  1.13178803e-07  1.86557421e-07  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  3.61720348e-08  6.00000000e-01  9.75386727e-08  6.00000000e-01  8.70183886e-10  6.00000000e-01  3.43788837e-08  6.00000000e-01  1.62196641e-07  6.00000000e-01  6.00000000e-01  4.10590896e-09  2.12613424e-08  6.00000000e-01  6.00000000e-01  1.21594552e-10  1.81079735e-09  2.20565979e-06  2.25774769e-09  6.00000000e-01  6.00000000e-01  6.00000000e-01  8.07744880e-07  6.24077151e-10  5.47480703e-09  6.00000000e-01  4.06939578e-08  4.18058521e-08  3.20646568e-07  6.00000000e-01  1.61145434e-06  6.00000000e-01  6.00000000e-01  9.55518467e-07  6.00000000e-01  2.75978936e-07  5.48140747e-09  3.83853304e-08  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  1.54592530e-10  6.00000000e-01  1.85582669e-07  6.00000000e-01  2.08105042e-11  6.00000000e-01  6.00000000e-01  6.00000000e-01  1.41051851e-09  6.00000000e-01  2.13760893e-10  6.00000000e-01  9.06799002e-07  6.00000000e-01  1.02925461e-08  6.00000000e-01  6.57862102e-09  2.12855587e-07  7.41480809e-09  3.94935093e-06  6.00000000e-01  6.36139809e-09  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  3.25938846e-09  3.60749956e-07  6.00000000e-01  1.19606101e-08  4.63028114e-07  6.00000000e-01  6.00000000e-01  6.00000000e-01  5.59700051e-07  3.39298183e-10  1.78368053e-08  5.98400715e-08  6.00000000e-01  6.00000000e-01  1.13430449e-09  6.67617405e-08  5.21330304e-09  9.90529589e-10  6.00000000e-01  6.00000000e-01  6.00000000e-01 
 7.00000000e-01  7.00000000e-01  1.85434505e-08  4.42300010e-07  1.34210655e-06  2.35801181e-06  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  3.30177428e-07  7.00000000e-01  7.84800289e-07  7.00000000e-01  2.41883524e-08  7.00000000e-01  6.70992253e-07  7.00000000e-01  1.41076484e-06  7.00000000e-01  7.00000000e-01  1.00704882e-07  3.96884793e-07  7.00000000e-01  7.00000000e-01  3.41803841e-09  4.00844761e-08  7.65823045e-06  5.89608986e-08  7.00000000e-01  7.00000000e-01  7.00000000e-01  3.19576068e-06  1.57325176e-08  9.98567056e-08  7.00000000e-01  5.34578168e-07  4.59986241e-07  1.43533766e-06  7.00000000e-01  6.46440628e-06  7.00000000e-01  7.00000000e-01  6.59707427e-06  7.00000000e-01  2.37754309e-06  1.27575952e-07  6.20191316e-07  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  4.69428878e-09  7.00000000e-01  7.69507388e-07  7.00000000e-01  6.57970604e-10  7.00000000e-01  7.00000000e-01  7.00000000e-01  3.60344106e-08  7.00000000e-01  5.58728091e-09  7.00000000e-01  3.44027977e-06  7.00000000e-01  1.69601583e-07  7.00000000e-01  1.65548619e-07  1.53598423e-06  1.48513090e-07  1.44480148e-05  7.00000000e-01  1.00165459e-07  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  6.65401147e-08  2.79012282e-06  7.00000000e-01  2.49329224e-07  1.70422943e-06  7.00000000e-01  7.00000000e-01  7.00000000e-01  3.60750595e-06  9.02132674e-09  2.59030490e-07  5.87966901e-07  7.00000000e-01  7.00000000e-01  2.43852512e-08  9.31695826e-07  1.09905019e-07  2.54884085e-08  7.00000000e-01  7.00000000e-01  7.00000000e-01 
 8.00000000e-01  8.00000000e-01  2.58088196e-07  2.32531866e-06  5.77896502e-06  1.07912466e-05  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  9.70602554e-07  8.00000000e-01  2.10421969e-06  8.00000000e-01  4.35612644e-07  8.00000000e-01  5.29182232e-06  8.00000000e-01  3.99720858e-06  8.00000000e-01  8.00000000e-01  1.22893920e-06  2.91716019e-06  8.00000000e-01  8.00000000e-01  6.74925224e-08  4.46553840e-07  1.52892028e-05  8.46884409e-07  8.00000000e-01  8.00000000e-01  8.00000000e-01  6.01705386e-06  2.32699484e-07  7.63326992e-07  8.00000000e-01  2.55005874e-06  1.62622733e-06  2.84095964e-06  8.00000000e-01  1.37734076e-05  8.00000000e-01  8.00000000e-01  1.88180449e-05  8.00000000e-01  7.87629606e-06  1.44778477e-06  3.80236566e-06  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  1.11726583e-07  8.00000000e-01  1.47643941e-06  8.00000000e-01  1.61137332e-08  8.00000000e-01  8.00000000e-01  8.00000000e-01  4.87277264e-07  8.00000000e-01  8.96286007e-08  8.00000000e-01  7.15147082e-06  8.00000000e-01  1.02007910e-06  8.00000000e-01  2.15346395e-06  4.51561242e-06  1.22517070e-06  2.94900210e-05  8.00000000e-01  5.54754582e-07  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  6.13046133e-07  8.57790330e-06  8.00000000e-01  2.20645021e-06  3.12142620e-06  8.00000000e-01  8.00000000e-01  8.00000000e-01  9.87738450e-06  1.51456736e-07  1.25590423e-06  1.83703075e-06  8.00000000e-01  8.00000000e-01  2.53454734e-07  4.73772403e-06  1.09089374e-06  3.96540820e-07  8.00000000e-01  8.00000000e-01  8.00000000e-01 
 9.00000000e-01  9.00000000e-01  1.20192287e-06  4.94041388e-06  1.27376035e-05  2.44685474e-05  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  1.63969598e-06  9.00000000e-01  3.44066124e-06  9.00000000e-01  3.06397491e-06  9.00000000e-01  1.64077317e-05  9.00000000e-01  6.66271625e-06  9.00000000e-01  9.00000000e-01  5.40966926e-06  8.64339257e-06  9.00000000e-01  9.00000000e-01  5.95010014e-07  1.56382940e-06  2.41342036e-05  4.41659066e-06  9.00000000e-01  9.00000000e-01  9.00000000e-01  8.66066754e-06  1.15361546e-06  1.99326215e-06  9.00000000e-01  5.91324382e-06  2.93322517e-06  4.16616920e-06  9.00000000e-01  2.23300770e-05  9.00000000e-01  9.00000000e-01  3.44758232e-05  9.00000000e-01  1.52308924e-05  5.96012802e-06  1.00065727e-05  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  1.31192133e-06  9.00000000e-01  2.14093568e-06  9.00000000e-01  2.29569450e-07  9.00000000e-01  9.00000000e-01  9.00000000e-01  2.38111992e-06  9.00000000e-01  5.08193063e-07  9.00000000e-01  1.14872757e-05  9.00000000e-01  2.31321113e-06  9.00000000e-01  1.00866915e-05  8.39116050e-06  3.92636548e-06  4.69410282e-05  9.00000000e-01  1.20797123e-06  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  1.81218487e-06  1.62242569e-05  9.00000000e-01  7.42863237e-06  4.44729058e-06  9.00000000e-01  9.00000000e-01  9.00000000e-01  1.78117945e-05  9.33023196e-07  2.57386592e-06  3.17107175e-06  9.00000000e-01  9.00000000e-01  8.29972024e-07  1.13372024e-05  3.42891885e-06  2.13305282e-06  9.00000000e-01  9.00000000e-01  9.00000000e-01 
 1.00000000e+00  1.00000000e+00  2.42472259e-06  7.44447255e-06  2.09977167e-05  4.07669222e-05  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  2.26490552e-06  1.00000000e+00  4.68889966e-06  1.00000000e+00  8.74740471e-06  1.00000000e+00  3.11633411e-05  1.00000000e+00  9.15014868e-06  1.00000000e+00  1.00000000e+00  1.20532487e-05  1.61246669e-05  1.00000000e+00  1.00000000e+00  1.71679871e-06  2.81887452e-06  3.40863246e-05  1.07070114e-05  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.11383474e-05  2.39160943e-06  3.22474726e-06  1.00000000e+00  9.95765394e-06  4.14661203e-06  5.40647538e-06  1.00000000e+00  3.19556641e-05  1.00000000e+00  1.00000000e+00  5.23591315e-05  1.00000000e+00  2.34805764e-05  1.27205397e-05  1.75572408e-05  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  5.54985862e-06  1.00000000e+00  2.76402601e-06  1.00000000e+00  1.10043390e-06  1.00000000e+00  1.00000000e+00  1.00000000e+00  5.58888936e-06  1.00000000e+00  1.12116363e-06  1.00000000e+00  1.63749834e-05  1.00000000e+00  3.56817721e-06  1.00000000e+00  2.31376653e-05  1.28408334e-05  7.57480274e-06  6.65344258e-05  1.00000000e+00  1.83700732e-06  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  3.07169678e-06  2.49981441e-05  1.00000000e+00  1.46215366e-05  5.69225199e-06  1.00000000e+00  1.00000000e+00  1.00000000e+00  2.68839595e-05  2.14583236e-06  3.82911940e-06  4.41725448e-06  1.00000000e+00  1.00000000e+00  1.45981803e-06  1.93185743e-05  5.94014394e-06  4.58849947e-06  1.00000000e+00  1.00000000e+00  1.00000000e+00 
 1.10000000e+00  1.10000000e+00  3.58028400e-06  9.79166954e-06  3.03575055e-05  5.92003734e-05  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  2.85487687e-06  1.10000000e+00  5.86807249e-06  1.10000000e+00  1.58942557e-05  1.10000000e+00  4.81447428e-05  1.10000000e+00  1.14961801e-05  1.10000000e+00  1.10000000e+00  1.99754844e-05  2.47380381e-05  1.10000000e+00  1.10000000e+00  2.88235803e-06  3.99802916e-06  4.51146041e-05  1.83586831e-05  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.34861631e-05  3.57656557e-06  4.36733730e-06  1.10000000e+00  1.45514194e-05  5.27883135e-06  6.58108495e-06  1.10000000e+00  4.26215355e-05  1.10000000e+00  1.10000000e+00  7.23628491e-05  1.10000000e+00  3.25151415e-05  2.04793095e-05  2.59357044e-05  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.20056113e-05  1.10000000e+00  3.35487891e-06  1.10000000e+00  2.25201714e-06  1.10000000e+00  1.10000000e+00  1.10000000e+00  9.46662722e-06  1.10000000e+00  1.71487485e-06  1.10000000e+00  2.18010200e-05  1.10000000e+00  4.74333453e-06  1.10000000e+00  3.87682655e-05  1.78371905e-05  1.17974802e-05  8.82066701e-05  1.10000000e+00  2.42696498e-06  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  4.25229170e-06  3.48300588e-05  1.10000000e+00  2.29488175e-05  6.87341933e-06  1.10000000e+00  1.10000000e+00  1.10000000e+00  3.70521964e-05  3.33045578e-06  5.00771523e-06  5.59123557e-06  1.10000000e+00  1.10000000e+00  2.05116557e-06  2.83682517e-05  8.29375481e-06  6.95265795e-06  1.10000000e+00  1.10000000e+00  1.10000000e+00 
 1.20000000e+00  1.20000000e+00  4.65870815e-06  1.20170942e-05  4.07890832e-05  7.97074197e-05  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  3.41607111e-06  1.20000000e+00  6.99002538e-06  1.20000000e+00  2.38814158e-05  1.20000000e+00  6.72099706e-05  1.20000000e+00  1.37260834e-05  1.20000000e+00  1.20000000e+00  2.89711859e-05  3.44268903e-05  1.20000000e+00  1.20000000e+00  3.96795428e-06  5.10984751e-06  5.71510656e-05  2.70553885e-05  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.57197985e-05  4.69132139e-06  5.44033966e-06  1.20000000e+00  1.96807891e-05  6.34682037e-06  7.69852625e-06  1.20000000e+00  5.42631654e-05  1.20000000e+00  1.20000000e+00  9.43960032e-05  1.20000000e+00  4.22916685e-05  2.90329361e-05  3.50898705e-05  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.94577762e-05  1.20000000e+00  3.91747543e-06  1.20000000e+00  3.34653351e-06  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.38808930e-05  1.20000000e+00  2.27285146e-06  1.20000000e+00  2.77333275e-05  1.20000000e+00  5.85670019e-06  1.20000000e+00  5.64862473e-05  2.33600508e-05  1.65565562e-05  1.11820712e-04  1.20000000e+00  2.98665689e-06  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  5.36852026e-06  4.56793316e-05  1.20000000e+00  3.23159573e-05  7.99811994e-06  1.20000000e+00  1.20000000e+00  1.20000000e+00  4.82712143e-05  4.44219431e-06  6.12660058e-06  6.70676103e-06  1.20000000e+00  1.20000000e+00  2.60964917e-06  3.84545141e-05  1.05155478e-05  9.17330569e-06  1.20000000e+00  1.20000000e+00  1.20000000e+00 
 1.30000000e+00  1.30000000e+00  5.67680352e-06  1.41371680e-05  5.22328852e-05  1.02167883e-04  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  3.95126239e-06  1.30000000e+00  8.05993371e-06  1.30000000e+00  3.26416968e-05  1.30000000e+00  8.82772537e-05  1.30000000e+00  1.58508882e-05  1.30000000e+00  1.30000000e+00  3.90123211e-05  4.51508601e-05  1.30000000e+00  1.30000000e+00  4.98855400e-06  6.16754306e-06  7.01133172e-05  3.67643744e-05  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.78475350e-05  5.75111191e-06  6.45568458e-06  1.30000000e+00  2.53180727e-05  7.35826937e-06  8.76310303e-06  1.30000000e+00  6.67980692e-05  1.30000000e+00  1.30000000e+00  1.18307357e-04  1.30000000e+00  5.27358373e-05  3.83406213e-05  4.49635353e-05  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  2.76961683e-05  1.30000000e+00  4.45385737e-06  1.30000000e+00  4.37025850e-06  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.88175742e-05  1.30000000e+00  2.80296484e-06  1.30000000e+00  3.41313643e-05  1.30000000e+00  6.91725232e-06  1.30000000e+00  7.62292752e-05  2.93734972e-05  2.18340363e-05  1.37208870e-04  1.30000000e+00  3.52027304e-06  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  6.43186267e-06  5.74731448e-05  1.30000000e+00  4.26862069e-05  9.07029307e-06  1.30000000e+00  1.30000000e+00  1.30000000e+00  6.04664946e-05  5.49705091e-06  7.19343715e-06  7.76975499e-06  1.30000000e+00  1.30000000e+00  3.14150697e-06  4.95215610e-05  1.26299397e-05  1.12818657e-05  1.30000000e+00  1.30000000e+00  1.30000000e+00 
 1.40000000e+00  1.40000000e+00  6.64251714e-06  1.61598438e-05  6.46112519e-05  1.26423429e-04  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  4.46209936e-06  1.40000000e+00  9.08102946e-06  1.40000000e+00  4.21228402e-05  1.40000000e+00  1.11205573e-04  1.40000000e+00  1.78773386e-05  1.40000000e+00  1.40000000e+00  5.00424165e-05  5.68405550e-05  1.40000000e+00  1.40000000e+00  5.95571001e-06  7.17680539e-06  8.39197489e-05  4.74325929e-05  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.98757425e-05  6.76292059e-06  7.41897575e-06  1.40000000e+00  3.14252491e-05  8.31760478e-06  9.77801192e-06  1.40000000e+00  8.01433134e-05  1.40000000e+00  1.40000000e+00  1.43930675e-04  1.40000000e+00  6.37647747e-05  4.83340278e-05  5.54774214e-05  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  3.66795383e-05  1.40000000e+00  4.96556898e-06  1.40000000e+00  5.33834266e-06  1.40000000e+00  1.40000000e+00  1.40000000e+00  2.42504131e-05  1.40000000e+00  3.30903910e-06  1.40000000e+00  4.09544327e-05  1.40000000e+00  7.92917442e-06  1.40000000e+00  9.78831479e-05  3.58371672e-05  2.75966196e-05  1.64204896e-04  1.40000000e+00  4.02978799e-06  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  7.44724912e-06  7.01291480e-05  1.40000000e+00  5.39919680e-05  1.00930205e-05  1.40000000e+00  1.40000000e+00  1.40000000e+00  7.35565608e-05  6.50322015e-06  8.21198905e-06  8.78366588e-06  1.40000000e+00  1.40000000e+00  3.64939836e-06  6.14919129e-05  1.46474598e-05  1.32933089e-05  1.40000000e+00  1.40000000e+00  1.40000000e+00 
 1.50000000e+00  1.50000000e+00  7.56005022e-06  1.80908547e-05  7.78453186e-05  1.52312906e-04  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  4.94995651e-06  1.50000000e+00  1.00560703e-05  1.50000000e+00  5.22491106e-05  1.50000000e+00  1.35836393e-04  1.50000000e+00  1.98111143e-05  1.50000000e+00  1.50000000e+00  6.19877324e-05  6.94184334e-05  1.50000000e+00  1.50000000e+00  6.87473493e-06  8.14079177e-06  9.84943907e-05  5.89863712e-05  1.50000000e+00  1.50000000e+00  1.50000000e+00  2.18102340e-05  7.73014218e-06  8.33389495e-06  1.50000000e+00  3.79630556e-05  9.22834103e-06  1.07461421e-05  1.50000000e+00  9.42214882e-05  1.50000000e+00  1.50000000e+00  1.71106378e-04  1.50000000e+00  7.53004517e-05  5.89324433e-05  6.65503470e-05  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  4.63420413e-05  1.50000000e+00  5.45401725e-06  1.50000000e+00  6.25804496e-06  1.50000000e+00  1.50000000e+00  1.50000000e+00  3.01433190e-05  1.50000000e+00  3.79285831e-06  1.50000000e+00  4.81644837e-05  1.50000000e+00  8.89535632e-06  1.50000000e+00  1.21297260e-04  4.27119602e-05  3.38059508e-05  1.92654306e-04  1.50000000e+00  4.51659409e-06  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  8.41761908e-06  8.35675597e-05  1.50000000e+00  6.61548309e-05  1.10691346e-05  1.50000000e+00  1.50000000e+00  1.50000000e+00  8.74631729e-05  7.46448401e-06  9.18502339e-06  9.75132746e-06  1.50000000e+00  1.50000000e+00  4.13482961e-06  7.42853245e-05  1.65742535e-05  1.52148114e-05  1.50000000e+00  1.50000000e+00  1.50000000e+00 
 1.60000000e+00  1.60000000e+00  8.43257046e-06  1.99353639e-05  9.18609989e-05  1.79685080e-04  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  5.41612060e-06  1.60000000e+00  1.09876486e-05  1.60000000e+00  6.29414631e-05  1.60000000e+00  1.62016169e-04  1.60000000e+00  2.16575271e-05  1.60000000e+00  1.60000000e+00  7.47732089e-05  8.28094178e-05  1.60000000e+00  1.60000000e+00  7.74897601e-06  9.06204121e-06  1.13767786e-04  7.13491973e-05  1.60000000e+00  1.60000000e+00  1.60000000e+00  2.36564997e-05  8.65526008e-06  9.20358039e-06  1.60000000e+00  4.48944101e-05  1.00936609e-05  1.16702208e-05  1.60000000e+00  1.08961870e-04  1.60000000e+00  1.60000000e+00  1.99687414e-04  1.60000000e+00  8.72731549e-05  7.00581265e-05  7.81077959e-05  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  5.66058151e-05  1.60000000e+00  5.92053479e-06  1.60000000e+00  7.13315685e-06  1.60000000e+00  1.60000000e+00  1.60000000e+00  3.64589296e-05  1.60000000e+00  4.25567251e-06  1.60000000e+00  5.57266805e-05  1.60000000e+00  9.81836525e-06  1.60000000e+00  1.46317923e-04  4.99616791e-05  4.04245307e-05  2.22416165e-04  1.60000000e+00  4.98194073e-06  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  9.34544028e-06  9.77146484e-05  1.60000000e+00  7.90980791e-05  1.20013189e-05  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.02114105e-04  8.38343656e-06  1.01150547e-05  1.06753776e-05  1.60000000e+00  1.60000000e+00  4.59903166e-06  8.78260693e-05  1.84154050e-05  1.70515171e-05  1.60000000e+00  1.60000000e+00  1.60000000e+00 
