i(v_s_1_4),v(d_1_4)
0,0
5.34518E-05,0.2
6.76251E-05,0.3
7.41406E-05,0.4
7.58854E-05,0.5
7.6274E-05,0.6
7.64007E-05,0.7
7.64601E-05,0.8
7.64957E-05,0.9
7.65206E-05,1
7.65401E-05,1.1
7.65564E-05,1.2
7.65708E-05,1.3
7.65838E-05,1.4
7.6596E-05,1.5
7.66076E-05,1.6
