vds,crss_25_0
0,0.0220454
0.05,0.0213691
0.1,0.020621
0.15,0.0198562
0.2,0.019121
0.25,0.0184435
0.3,0.0178344
0.35,0.0172934
0.4,0.0168149
0.45,0.0163913
0.5,0.0160152
0.55,0.0156796
0.6,0.0153785
0.65,0.015107
0.7,0.0148608
0.75,0.0146366
0.8,0.0144313
0.85,0.0142425
0.9,0.0140683
0.95,0.0139068
1,0.0137567
1.05,0.0136167
1.1,0.0134857
1.15,0.0133629
1.2,0.0132473
1.25,0.0131384
1.3,0.0130355
1.35,0.0129382
1.4,0.0128458
1.45,0.0127581
1.5,0.0126746
1.55,0.012595
1.6,0.012519
1.65,0.0124464
1.7,0.0123768
1.75,0.0123102
1.8,0.0122463
1.85,0.0121849
1.9,0.0121259
1.95,0.0120691
2,0.0120144
