vgs,cgs_21_1
-2,8.48279E-07
-1.95,8.50483E-07
-1.8,8.57353E-07
-1.75,8.59733E-07
-1.7,8.62161E-07
-1.65,8.64638E-07
-1.6,8.67165E-07
-1.55,8.69745E-07
-1.5,8.72379E-07
-1.45,8.7507E-07
-1.4,8.77819E-07
-1.35,8.80628E-07
-1.3,8.835E-07
-1.25,8.86437E-07
-1.2,8.89442E-07
-1.15,8.92516E-07
-1.1,8.95662E-07
-1.05,8.98885E-07
-1,9.02185E-07
-0.95,9.05567E-07
-0.9,9.09033E-07
-0.85,9.12587E-07
-0.8,9.16232E-07
-0.75,9.19971E-07
-0.7,9.23808E-07
-0.65,9.27745E-07
-0.6,9.31785E-07
-0.55,9.35929E-07
-0.5,9.40178E-07
-0.45,9.44529E-07
-0.4,9.48974E-07
-0.35,9.535E-07
-0.3,9.5808E-07
-0.25,9.62666E-07
-0.2,9.67185E-07
-0.15,9.71519E-07
-0.1,9.75515E-07
-0.05,9.78999E-07
1.20737E-15,9.81837E-07
0.05,9.83989E-07
0.1,9.85522E-07
0.15,9.86566E-07
0.2,9.87265E-07
0.25,9.87946E-07
0.3,1.00243E-06
0.35,1.89505E-06
0.4,3.96886E-05
0.45,0.000178807
0.5,0.000196422
0.55,0.000201641
0.6,0.000205334
0.65,0.000208185
0.7,0.000210476
0.75,0.000212374
0.8,0.000213983
0.85,0.000215372
0.9,0.000216591
0.95,0.000217672
1,0.000218641
1.05,0.000219518
1.1,0.000220317
1.15,0.00022105
1.2,0.000221726
1.25,0.000222353
1.3,0.000222936
1.35,0.000223481
1.4,0.000223991
1.45,0.000224472
1.5,0.000224925
1.55,0.000225353
1.6,0.000225758
1.65,0.000226144
1.7,0.00022651
1.75,0.000226859
1.8,0.000227192
1.85,0.000227511
1.9,0.000227815
1.95,0.000228107
2,0.000228388
