vds,ciss_24_0
0,0.0318638
0.05,0.0311875
0.1,0.0304394
0.15,0.0296746
0.2,0.0289394
0.25,0.0282619
0.3,0.0276528
0.35,0.0271118
0.4,0.0266332
0.45,0.0262097
0.5,0.0258336
0.55,0.0254979
0.6,0.0251969
0.65,0.0249254
0.7,0.0246792
0.75,0.0244549
0.8,0.0242496
0.85,0.0240609
0.9,0.0238866
0.95,0.0237252
1,0.0235751
1.05,0.0234351
1.1,0.0233041
1.15,0.0231812
1.2,0.0230657
1.25,0.0229568
1.3,0.0228539
1.35,0.0227565
1.4,0.0226642
1.45,0.0225764
1.5,0.0224929
1.55,0.0224133
1.6,0.0223374
1.65,0.0222647
1.7,0.0221952
1.75,0.0221286
1.8,0.0220647
1.85,0.0220033
1.9,0.0219443
1.95,0.0218875
2,0.0218327
