vds,crss_25_0
0,0.0195809
0.05,0.0190438
0.1,0.0184498
0.15,0.0178424
0.2,0.0172586
0.25,0.0167206
0.3,0.0162368
0.35,0.0158072
0.4,0.0154272
0.45,0.0150908
0.5,0.0147921
0.55,0.0145256
0.6,0.0142865
0.65,0.0140709
0.7,0.0138754
0.75,0.0136973
0.8,0.0135343
0.85,0.0133844
0.9,0.013246
0.95,0.0131178
1,0.0129986
1.05,0.0128874
1.1,0.0127834
1.15,0.0126858
1.2,0.0125941
1.25,0.0125076
1.3,0.0124259
1.35,0.0123486
1.4,0.0122752
1.45,0.0122055
1.5,0.0121392
1.55,0.012076
1.6,0.0120157
1.65,0.011958
1.7,0.0119028
1.75,0.0118499
1.8,0.0117992
1.85,0.0117504
1.9,0.0117035
1.95,0.0116584
2,0.011615
