v(d_1_4),i(v_s_1_4)
0,0
0.2,4.53674E-25
0.3,4.56505E-25
0.4,4.58772E-25
0.5,4.60891E-25
0.6,4.62954E-25
0.7,4.64991E-25
0.8,4.67016E-25
0.9,4.69033E-25
1,4.71045E-25
1.1,4.73055E-25
1.2,4.75063E-25
1.3,4.7707E-25
1.4,4.79076E-25
1.5,4.81081E-25
1.6,4.83086E-25
