vgs,cgd_20_2,cgd_20_1,cgd_20_0
-2,1.1615E-06,1.1615E-06,1.1615E-06
-1.95,1.16584E-06,1.16584E-06,1.16584E-06
-1.9,1.17035E-06,1.17035E-06,1.17035E-06
-1.85,1.17504E-06,1.17504E-06,1.17504E-06
-1.8,1.17992E-06,1.17992E-06,1.17992E-06
-1.75,1.18499E-06,1.18499E-06,1.18499E-06
-1.7,1.19028E-06,1.19028E-06,1.19028E-06
-1.65,1.1958E-06,1.1958E-06,1.1958E-06
-1.6,1.20157E-06,1.20157E-06,1.20157E-06
-1.55,1.2076E-06,1.2076E-06,1.2076E-06
-1.5,1.21392E-06,1.21392E-06,1.21392E-06
-1.45,1.22055E-06,1.22055E-06,1.22055E-06
-1.4,1.22752E-06,1.22752E-06,1.22752E-06
-1.35,1.23486E-06,1.23486E-06,1.23486E-06
-1.3,1.24259E-06,1.24259E-06,1.24259E-06
-1.25,1.25076E-06,1.25076E-06,1.25076E-06
-1.2,1.25941E-06,1.25941E-06,1.25941E-06
-1.15,1.26858E-06,1.26858E-06,1.26858E-06
-1.1,1.27834E-06,1.27834E-06,1.27834E-06
-1.05,1.28874E-06,1.28874E-06,1.28874E-06
-1,1.29986E-06,1.29986E-06,1.29986E-06
-0.95,1.31178E-06,1.31178E-06,1.31178E-06
-0.9,1.3246E-06,1.3246E-06,1.3246E-06
-0.85,1.33844E-06,1.33844E-06,1.33844E-06
-0.8,1.35343E-06,1.35343E-06,1.35343E-06
-0.75,1.36973E-06,1.36973E-06,1.36973E-06
-0.7,1.38754E-06,1.38754E-06,1.38754E-06
-0.65,1.40709E-06,1.40709E-06,1.40709E-06
-0.6,1.42865E-06,1.42865E-06,1.42865E-06
-0.55,1.45256E-06,1.45256E-06,1.45256E-06
-0.5,1.47921E-06,1.47921E-06,1.47921E-06
-0.45,1.50908E-06,1.50908E-06,1.50908E-06
-0.4,1.54272E-06,1.54272E-06,1.54272E-06
-0.35,1.58072E-06,1.58072E-06,1.58072E-06
-0.3,1.62368E-06,1.62368E-06,1.62368E-06
-0.25,1.67206E-06,1.67206E-06,1.67206E-06
-0.2,1.72586E-06,1.72586E-06,1.72586E-06
-0.15,1.78424E-06,1.78424E-06,1.78424E-06
-0.1,1.84498E-06,1.84498E-06,1.84498E-06
-0.05,1.90438E-06,1.90438E-06,1.90438E-06
1.20737E-15,1.95809E-06,1.95809E-06,1.95809E-06
0.05,2.00271E-06,2.00271E-06,2.00271E-06
0.1,2.03703E-06,2.03703E-06,2.03703E-06
0.15,2.06197E-06,2.06197E-06,2.06197E-06
0.2,2.07947E-06,2.07947E-06,2.07947E-06
0.25,2.09158E-06,2.09158E-06,2.09158E-06
0.3,2.09997E-06,2.09997E-06,2.09997E-06
0.35,2.10583E-06,2.10583E-06,2.10583E-06
0.4,2.10998E-06,2.10998E-06,2.10998E-06
0.45,2.11297E-06,2.11297E-06,2.11297E-06
0.5,2.11516E-06,2.11516E-06,2.11516E-06
0.55,2.11679E-06,2.11679E-06,2.11679E-06
0.6,2.11802E-06,2.11802E-06,2.11802E-06
0.65,2.11897E-06,2.11897E-06,2.11897E-06
0.7,2.11971E-06,2.11971E-06,2.11971E-06
0.75,2.12029E-06,2.12029E-06,2.12029E-06
0.8,2.12076E-06,2.12076E-06,2.12076E-06
0.85,2.12113E-06,2.12113E-06,2.12113E-06
0.9,2.12144E-06,2.12144E-06,2.12144E-06
0.95,2.12169E-06,2.12169E-06,2.12169E-06
1,2.1219E-06,2.1219E-06,2.1219E-06
1.05,2.12207E-06,2.12207E-06,2.12207E-06
1.1,2.12222E-06,2.12222E-06,2.12222E-06
1.15,2.12234E-06,2.12235E-06,2.12234E-06
1.2,2.12245E-06,2.12246E-06,2.12245E-06
1.25,2.12254E-06,2.12268E-06,2.12254E-06
1.3,2.12262E-06,2.12386E-06,2.12262E-06
1.35,2.12269E-06,2.13415E-06,2.12269E-06
1.4,2.12275E-06,2.22761E-06,2.12275E-06
1.45,2.1228E-06,3.04516E-06,2.1228E-06
1.5,2.12285E-06,9.36887E-06,2.12285E-06
1.55,2.12289E-06,3.64639E-05,2.12289E-06
1.6,2.12292E-06,6.07804E-05,2.12292E-06
1.65,2.12295E-06,6.60371E-05,2.12295E-06
1.7,2.12298E-06,6.69709E-05,2.12298E-06
1.75,2.12301E-06,6.73266E-05,2.12301E-06
1.8,2.12303E-06,6.75768E-05,2.12307E-06
1.85,2.12305E-06,6.77827E-05,2.12344E-06
1.9,2.12307E-06,6.79573E-05,2.12706E-06
1.95,2.12308E-06,6.81066E-05,2.1637E-06
2,2.1231E-06,6.8235E-05,2.52758E-06
