vds,ciss_24_0
0,0.0431778
0.05,0.0427418
0.1,0.0422821
0.15,0.0418135
0.2,0.0413634
0.25,0.0409487
0.3,0.0405759
0.35,0.0402449
0.4,0.0399521
0.45,0.0396929
0.5,0.0394627
0.55,0.0392573
0.6,0.0390731
0.65,0.038907
0.7,0.0387563
0.75,0.0386191
0.8,0.0384935
0.85,0.038378
0.9,0.0382714
0.95,0.0381726
1,0.0380807
1.05,0.0379951
1.1,0.0379149
1.15,0.0378397
1.2,0.0377691
1.25,0.0377024
1.3,0.0376395
1.35,0.0375799
1.4,0.0375234
1.45,0.0374697
1.5,0.0374186
1.55,0.0373699
1.6,0.0373234
1.65,0.037279
1.7,0.0372364
1.75,0.0371957
1.8,0.0371566
1.85,0.037119
1.9,0.0370829
1.95,0.0370481
2,0.0370146
