i(v_s_1_4),v(d_1_4)
0,0
4.59478E-06,0.2
6.05699E-06,0.3
6.97946E-06,0.4
7.43288E-06,0.5
7.623E-06,0.6
7.74636E-06,0.7
7.85952E-06,0.8
7.97116E-06,0.9
8.08269E-06,1
8.19433E-06,1.1
8.30612E-06,1.2
8.41804E-06,1.3
8.53006E-06,1.4
8.64217E-06,1.5
8.75436E-06,1.6
