vgs,cgs_21_1
-2,1.37543E-06
-1.95,1.37788E-06
-1.8,1.38561E-06
-1.75,1.38833E-06
-1.7,1.39113E-06
-1.65,1.39401E-06
-1.6,1.39697E-06
-1.55,1.40002E-06
-1.5,1.40317E-06
-1.45,1.40641E-06
-1.4,1.40976E-06
-1.35,1.41321E-06
-1.3,1.41678E-06
-1.25,1.42048E-06
-1.2,1.42429E-06
-1.15,1.42825E-06
-1.1,1.43235E-06
-1.05,1.4366E-06
-1,1.44102E-06
-0.95,1.44561E-06
-0.9,1.45039E-06
-0.85,1.45537E-06
-0.8,1.46057E-06
-0.75,1.46602E-06
-0.7,1.47173E-06
-0.65,1.47775E-06
-0.6,1.48413E-06
-0.55,1.49093E-06
-0.5,1.49828E-06
-0.45,1.50634E-06
-0.4,1.51536E-06
-0.35,1.52574E-06
-0.3,1.53814E-06
-0.25,1.55355E-06
-0.2,1.57354E-06
-0.15,1.60054E-06
-0.1,1.63828E-06
-0.05,1.69246E-06
1.20737E-15,1.77185E-06
0.05,1.89047E-06
0.1,2.07127E-06
0.15,2.35281E-06
0.2,2.79943E-06
0.25,3.51558E-06
0.3,4.66349E-06
0.35,6.47985E-06
0.4,9.27742E-06
0.45,1.33986E-05
0.5,1.90766E-05
0.55,2.62116E-05
0.6,3.42199E-05
0.65,4.21767E-05
0.7,4.92219E-05
0.75,5.48915E-05
0.8,5.91465E-05
0.85,6.22027E-05
0.9,6.43514E-05
0.95,6.58572E-05
1,6.69242E-05
1.05,6.76968E-05
1.1,6.82726E-05
1.15,6.8716E-05
1.2,6.9069E-05
1.25,6.9359E-05
1.3,6.96039E-05
1.35,6.98156E-05
1.4,7.0002E-05
1.45,7.01686E-05
1.5,7.03193E-05
1.55,7.04568E-05
1.6,7.05832E-05
1.65,7.07001E-05
1.7,7.08087E-05
1.75,7.091E-05
1.8,7.10048E-05
1.85,7.10938E-05
1.9,7.11774E-05
1.95,7.12563E-05
2,7.13308E-05
