vgs,cgg_23_0
-2,0.000151342
-1.95,0.000151104
-1.9,0.000150846
-1.85,0.000150567
-1.8,0.000150266
-1.75,0.000149942
-1.7,0.000149593
-1.65,0.000149219
-1.6,0.000148817
-1.55,0.000148346
-1.5,0.00014782
-1.45,0.000147238
-1.4,0.000146588
-1.35,0.000145854
-1.3,0.000145012
-1.25,0.000144027
-1.2,0.000142846
-1.15,0.000141388
-1.1,0.000139528
-1.05,0.000137075
-1,0.000133755
-0.95,0.000129209
-0.9,0.000123076
-0.85,0.000115216
-0.8,0.00010599
-0.75,9.62623E-05
-0.7,8.69472E-05
-0.65,7.86326E-05
-0.6,7.15328E-05
-0.55,6.5605E-05
-0.5,6.06898E-05
-0.45,5.66044E-05
-0.4,5.31841E-05
-0.35,5.02942E-05
-0.3,4.78285E-05
-0.25,4.57049E-05
-0.2,4.38596E-05
-0.15,4.22419E-05
-0.1,4.08088E-05
-0.05,3.95302E-05
1.20737E-15,3.83787E-05
0.05,3.73327E-05
0.1,3.63768E-05
0.15,3.55012E-05
0.2,3.47006E-05
0.25,3.39737E-05
0.3,3.33237E-05
0.35,3.27591E-05
0.4,3.22965E-05
0.45,3.19664E-05
0.5,3.1825E-05
0.55,3.1977E-05
0.6,3.26093E-05
0.65,3.40359E-05
0.7,3.67454E-05
0.75,4.1415E-05
0.8,4.87965E-05
0.85,5.93396E-05
0.9,7.26101E-05
0.95,8.70501E-05
1,0.000100623
1.05,0.000111865
1.1,0.000120342
1.15,0.000126371
1.2,0.000130542
1.25,0.000133419
1.3,0.000135434
1.35,0.000136886
1.4,0.00013797
1.45,0.000138811
1.5,0.000139487
1.55,0.000140048
1.6,0.000140526
1.65,0.000140943
1.7,0.000141313
1.75,0.000141644
1.8,0.000141945
1.85,0.00014222
1.9,0.000142472
1.95,0.000142706
2,0.000142922
