vgs,cgb_22_1,cgb_22_0,cgb_22_2
-2,0.000210871,0.000210586,0.000174527
-1.95,0.000211016,0.000210217,0.000168525
-1.9,0.000211152,0.000209774,0.00016102
-1.85,0.000211275,0.00020925,0.000151591
-1.8,0.000211383,0.000208636,0.000140065
-1.75,0.000211474,0.000207926,0.000127268
-1.7,0.000211545,0.000207111,0.00011568
-1.65,0.000211593,0.000206181,0.00010523
-1.6,0.000211615,0.000205128,9.58409E-05
-1.55,0.000211606,0.000203941,8.77156E-05
-1.5,0.000211564,0.000202606,8.08332E-05
-1.45,0.000211484,0.000201068,7.50408E-05
-1.4,0.000211361,0.000199345,7.01532E-05
-1.35,0.000211191,0.000197417,6.59996E-05
-1.3,0.000210967,0.00019526,6.24376E-05
-1.25,0.000210684,0.000192842,5.93536E-05
-1.2,0.000210336,0.000190122,5.66585E-05
-1.15,0.000209916,0.000187038,5.42825E-05
-1.1,0.000209417,0.000183503,5.21707E-05
-1.05,0.000208831,0.00017938,5.028E-05
-1,0.000208152,0.000174463,4.85757E-05
-0.95,0.000207369,0.000168444,4.70303E-05
-0.9,0.000206475,0.000160919,4.56213E-05
-0.85,0.000205459,0.000151465,4.43301E-05
-0.8,0.000204314,0.000139916,4.31415E-05
-0.75,0.000203028,0.000127118,4.2043E-05
-0.7,0.000201552,0.000115549,4.10239E-05
-0.65,0.000199886,0.000105111,4.00752E-05
-0.6,0.000198022,9.57358E-05,3.91892E-05
-0.55,0.000195937,8.76259E-05,3.83594E-05
-0.5,0.000193602,8.07577E-05,3.75802E-05
-0.45,0.000190978,7.49772E-05,3.68466E-05
-0.4,0.000188012,7.00993E-05,3.61544E-05
-0.35,0.000184625,6.59536E-05,3.54999E-05
-0.3,0.000180698,6.2398E-05,3.48798E-05
-0.25,0.000176047,5.93192E-05,3.42911E-05
-0.2,0.000170398,5.66283E-05,3.37314E-05
-0.15,0.000162866,5.40886E-05,3.3095E-05
-0.1,0.000153505,5.17998E-05,3.24676E-05
-0.05,0.000142139,4.9752E-05,3.18696E-05
1.20737E-15,0.000128974,4.79068E-05,3.12986E-05
0.05,0.00011554,4.62339E-05,3.07527E-05
0.1,0.000100535,4.47084E-05,3.02302E-05
0.15,7.86114E-05,4.33102E-05,2.97294E-05
0.2,4.84329E-05,4.20228E-05,2.9249E-05
0.25,2.39955E-05,4.08317E-05,2.87874E-05
0.3,1.25431E-05,3.97223E-05,2.83437E-05
0.35,8.02953E-06,3.8668E-05,2.79166E-05
0.4,5.96883E-06,3.75691E-05,2.75051E-05
0.45,4.77483E-06,3.59423E-05,2.71083E-05
0.5,3.95424E-06,3.16643E-05,2.67245E-05
0.55,3.3386E-06,2.03031E-05,2.63492E-05
0.6,2.85674E-06,7.4235E-06,2.59605E-05
0.65,2.47069E-06,2.28708E-06,2.54411E-05
0.7,2.15647E-06,1.08758E-06,2.41841E-05
0.75,1.89751E-06,8.15591E-07,1.98081E-05
0.8,1.68176E-06,7.27414E-07,1.01386E-05
0.85,1.5003E-06,6.77052E-07,2.91931E-06
0.9,1.34634E-06,6.367E-07,7.94639E-07
0.95,1.21468E-06,6.00828E-07,3.57955E-07
1,1.10126E-06,5.68115E-07,2.69408E-07
1.05,1.00291E-06,5.38064E-07,2.46096E-07
1.1,9.17107E-07,5.10371E-07,2.35126E-07
1.15,8.41824E-07,4.8479E-07,2.26772E-07
1.2,7.75425E-07,4.61112E-07,2.19223E-07
1.25,7.1658E-07,4.39152E-07,2.12124E-07
1.3,6.64193E-07,4.18749E-07,2.0539E-07
1.35,6.17361E-07,3.9976E-07,1.98987E-07
1.4,5.75331E-07,3.82056E-07,1.92891E-07
1.45,5.37473E-07,3.65525E-07,1.87083E-07
1.5,5.03255E-07,3.50066E-07,1.81544E-07
1.55,4.72229E-07,3.35588E-07,1.7626E-07
1.6,4.44011E-07,3.2201E-07,1.71213E-07
1.65,4.18275E-07,3.09259E-07,1.6639E-07
1.7,3.94739E-07,2.9727E-07,1.61779E-07
1.75,3.73161E-07,2.85982E-07,1.57366E-07
1.8,3.53331E-07,2.75343E-07,1.53141E-07
1.85,3.35065E-07,2.65304E-07,1.49094E-07
1.9,3.18203E-07,2.5582E-07,1.45214E-07
1.95,3.02607E-07,2.46851E-07,1.41492E-07
2,2.88153E-07,2.38362E-07,1.3792E-07
