 v-sweep         i(v_meas_0_1)   v(p_0_1)       
-2.00000000e-01 -2.00000001e-13 -2.00000000e-01 
-1.00000000e-01 -1.00000001e-13 -1.00000000e-01 
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-01  1.00005249e-13  1.00000000e-01 
 2.00000000e-01  2.00212974e-13  2.00000000e-01 
 3.00000000e-01  3.08331870e-13  3.00000000e-01 
 4.00000000e-01  7.04841687e-13  4.00000000e-01 
 5.00000000e-01  8.73352630e-12  5.00000000e-01 
 6.00000000e-01  1.09549112e-10  6.00000000e-01 
 7.00000000e-01  8.23886504e-10  7.00000000e-01 
 8.00000000e-01  5.23463617e-09  8.00000000e-01 
 9.00000000e-01  3.16920777e-08  9.00000000e-01 
 1.00000000e+00  1.93212967e-07  1.00000000e+00 
 1.10000000e+00  1.31154679e-06  1.10000000e+00 
 1.20000000e+00  8.81594153e-06  1.20000000e+00 
 1.30000000e+00  5.82557299e-05  1.30000000e+00 
 1.40000000e+00  3.80326625e-04  1.40000000e+00 
 1.50000000e+00  2.42378333e-03  1.50000000e+00 
 1.60000000e+00  1.39144495e-02  1.60000000e+00 
 1.70000000e+00  5.68868814e-02  1.70000000e+00 
 1.80000000e+00  1.44253161e-01  1.80000000e+00 
 1.90000000e+00  2.62847303e-01  1.90000000e+00 
 2.00000000e+00  3.98538869e-01  2.00000000e+00 
 2.10000000e+00  5.43577286e-01  2.10000000e+00 
 2.20000000e+00  6.95347841e-01  2.20000000e+00 
 2.30000000e+00  8.51158734e-01  2.30000000e+00 
 2.40000000e+00  1.00978069e+00  2.40000000e+00 
 2.50000000e+00  1.17054128e+00  2.50000000e+00 
 2.60000000e+00  1.33295919e+00  2.60000000e+00 
 2.70000000e+00  1.49669046e+00  2.70000000e+00 
 2.80000000e+00  1.66148624e+00  2.80000000e+00 
 2.90000000e+00  1.82716108e+00  2.90000000e+00 
 3.00000000e+00  1.99357333e+00  3.00000000e+00 
 3.10000000e+00  2.16061251e+00  3.10000000e+00 
 3.20000000e+00  2.32819092e+00  3.20000000e+00 
 3.30000000e+00  2.49623784e+00  3.30000000e+00 
 3.40000000e+00  2.66469544e+00  3.40000000e+00 
 3.50000000e+00  2.83351587e+00  3.50000000e+00 
