 v-sweep         v(p_0_0)        i(v_meas_0_0)  
-2.00000000e-01 -2.00000000e-01 -2.00000000e-13 
-1.00000000e-01 -1.00000000e-01 -1.00000000e-13 
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-01  1.00000000e-01  1.00000919e-13 
 2.00000000e-01  2.00000000e-01  2.00043632e-13 
 3.00000000e-01  3.00000000e-01  3.02016716e-13 
 4.00000000e-01  4.00000000e-01  4.89633853e-13 
 5.00000000e-01  5.00000000e-01  3.73900822e-12 
 6.00000000e-01  6.00000000e-01  6.08533606e-11 
 7.00000000e-01  7.00000000e-01  5.47114664e-10 
 8.00000000e-01  8.00000000e-01  3.83739083e-09 
 9.00000000e-01  9.00000000e-01  2.53055766e-08 
 1.00000000e+00  1.00000000e+00  1.65744188e-07 
 1.10000000e+00  1.10000000e+00  1.21036565e-06 
 1.20000000e+00  1.20000000e+00  8.83680106e-06 
 1.30000000e+00  1.30000000e+00  6.33628073e-05 
 1.40000000e+00  1.40000000e+00  4.48471211e-04 
 1.50000000e+00  1.50000000e+00  3.08662373e-03 
 1.60000000e+00  1.60000000e+00  1.86693043e-02 
 1.70000000e+00  1.70000000e+00  7.54407956e-02 
 1.80000000e+00  1.80000000e+00  1.84148357e-01 
 1.90000000e+00  1.90000000e+00  3.25825203e-01 
 2.00000000e+00  2.00000000e+00  4.85353569e-01 
 2.10000000e+00  2.10000000e+00  6.54577665e-01 
 2.20000000e+00  2.20000000e+00  8.30773141e-01 
 2.30000000e+00  2.30000000e+00  1.01119598e+00 
 2.40000000e+00  2.40000000e+00  1.19458414e+00 
 2.50000000e+00  2.50000000e+00  1.38023338e+00 
 2.60000000e+00  2.60000000e+00  1.56763994e+00 
 2.70000000e+00  2.70000000e+00  1.75644337e+00 
 2.80000000e+00  2.80000000e+00  1.94638194e+00 
 2.90000000e+00  2.90000000e+00  2.13725998e+00 
 3.00000000e+00  3.00000000e+00  2.32892766e+00 
 3.10000000e+00  3.10000000e+00  2.52126781e+00 
 3.20000000e+00  3.20000000e+00  2.71418724e+00 
 3.30000000e+00  3.30000000e+00  2.90761065e+00 
 3.40000000e+00  3.40000000e+00  3.10147637e+00 
 3.50000000e+00  3.50000000e+00  3.29573329e+00 
