vgs,cgg_23_0
-2,0.000159783
-1.95,0.000159207
-1.9,0.000158523
-1.85,0.000157719
-1.8,0.000156786
-1.75,0.000155714
-1.7,0.000154487
-1.65,0.000153095
-1.6,0.000151529
-1.55,0.000149778
-1.5,0.00014783
-1.45,0.000145673
-1.4,0.000143294
-1.35,0.000140682
-1.3,0.000137821
-1.25,0.000134692
-1.2,0.000131269
-1.15,0.000127516
-1.1,0.000123378
-1.05,0.000118772
-1,0.000113591
-0.95,0.000107722
-0.9,0.000101147
-0.85,9.51699E-05
-0.8,9.14053E-05
-0.75,8.77762E-05
-0.7,8.41818E-05
-0.65,8.07596E-05
-0.6,7.75867E-05
-0.55,7.46874E-05
-0.5,7.20561E-05
-0.45,6.96738E-05
-0.4,6.75165E-05
-0.35,6.55607E-05
-0.3,6.37845E-05
-0.25,6.21684E-05
-0.2,6.06941E-05
-0.15,5.93452E-05
-0.1,5.81048E-05
-0.05,5.69553E-05
1.20737E-15,5.58795E-05
0.05,5.48639E-05
0.1,5.39003E-05
0.15,5.2986E-05
0.2,5.21222E-05
0.25,5.13128E-05
0.3,5.05649E-05
0.35,4.989E-05
0.4,4.9307E-05
0.45,4.88481E-05
0.5,4.85677E-05
0.55,4.85569E-05
0.6,4.89638E-05
0.65,5.00169E-05
0.7,5.20485E-05
0.75,5.54998E-05
0.8,6.08679E-05
0.85,6.85414E-05
0.9,7.8514E-05
0.95,9.01258E-05
1,0.000102121
1.05,0.000113133
1.1,0.000122244
1.15,0.000129196
1.2,0.000134212
1.25,0.000137716
1.3,0.000140136
1.35,0.000141813
1.4,0.000142997
1.45,0.000143857
1.5,0.000144502
1.55,0.000145005
1.6,0.000145412
1.65,0.000145752
1.7,0.000146046
1.75,0.000146304
1.8,0.000146536
1.85,0.000146747
1.9,0.000146942
1.95,0.000147122
2,0.00014729
