vgs,cgd_20_1,cgd_20_2,cgd_20_0
-2,1.87006E-06,1.87006E-06,1.87006E-06
-1.95,1.87763E-06,1.87763E-06,1.87763E-06
-1.9,1.88548E-06,1.88548E-06,1.88548E-06
-1.85,1.89364E-06,1.89364E-06,1.89364E-06
-1.8,1.90212E-06,1.90212E-06,1.90212E-06
-1.75,1.91096E-06,1.91096E-06,1.91096E-06
-1.7,1.92017E-06,1.92017E-06,1.92017E-06
-1.65,1.92978E-06,1.92977E-06,1.92977E-06
-1.6,1.93982E-06,1.93981E-06,1.93981E-06
-1.55,1.95032E-06,1.95032E-06,1.95032E-06
-1.5,1.96133E-06,1.96132E-06,1.96132E-06
-1.45,1.97287E-06,1.97286E-06,1.97286E-06
-1.4,1.98501E-06,1.98499E-06,1.98499E-06
-1.35,1.99779E-06,1.99776E-06,1.99776E-06
-1.3,2.01127E-06,2.01122E-06,2.01122E-06
-1.25,2.02552E-06,2.02544E-06,2.02544E-06
-1.2,2.04062E-06,2.04049E-06,2.04049E-06
-1.15,2.05667E-06,2.05646E-06,2.05646E-06
-1.1,2.07378E-06,2.07345E-06,2.07345E-06
-1.05,2.09208E-06,2.09155E-06,2.09155E-06
-1,2.11175E-06,2.11091E-06,2.11091E-06
-0.95,2.133E-06,2.13165E-06,2.13166E-06
-0.9,2.15612E-06,2.15397E-06,2.15397E-06
-0.85,2.18149E-06,2.17806E-06,2.17806E-06
-0.8,2.20961E-06,2.20415E-06,2.20415E-06
-0.75,2.24124E-06,2.23253E-06,2.23253E-06
-0.7,2.27741E-06,2.26353E-06,2.26354E-06
-0.65,2.31963E-06,2.29756E-06,2.29757E-06
-0.6,2.37017E-06,2.33509E-06,2.3351E-06
-0.55,2.43234E-06,2.37671E-06,2.37673E-06
-0.5,2.5111E-06,2.4231E-06,2.42314E-06
-0.45,2.61385E-06,2.4751E-06,2.47516E-06
-0.4,2.7517E-06,2.53364E-06,2.53375E-06
-0.35,2.94163E-06,2.59979E-06,2.59996E-06
-0.3,3.20986E-06,2.67457E-06,2.67485E-06
-0.25,3.59724E-06,2.75878E-06,2.75924E-06
-0.2,4.16674E-06,2.85243E-06,2.85319E-06
-0.15,5.01311E-06,2.95405E-06,2.95531E-06
-0.1,6.27416E-06,3.05979E-06,3.06185E-06
-0.05,8.14108E-06,3.1632E-06,3.16659E-06
1.20737E-15,1.08593E-05,3.25671E-06,3.26228E-06
0.05,1.47012E-05,3.33439E-06,3.34355E-06
0.1,1.98834E-05,3.39417E-06,3.40921E-06
0.15,2.64241E-05,3.43763E-06,3.46231E-06
0.2,3.4003E-05,3.4682E-06,3.50861E-06
0.25,4.19557E-05,3.48946E-06,3.55547E-06
0.3,4.9482E-05,3.50433E-06,3.61183E-06
0.35,5.59513E-05,3.51498E-06,3.68939E-06
0.4,6.10812E-05,3.52295E-06,3.80492E-06
0.45,6.49089E-05,3.5294E-06,3.98418E-06
0.5,6.76504E-05,3.53525E-06,4.26843E-06
0.55,6.95688E-05,3.54146E-06,4.72421E-06
0.6,7.08999E-05,3.54915E-06,5.45684E-06
0.65,7.18272E-05,3.55991E-06,6.62668E-06
0.7,7.24824E-05,3.57613E-06,8.4643E-06
0.75,7.29561E-05,3.60156E-06,1.12719E-05
0.8,7.33088E-05,3.64207E-06,1.53835E-05
0.85,7.35803E-05,3.707E-06,2.10478E-05
0.9,7.37967E-05,3.81124E-06,2.82308E-05
0.95,7.3975E-05,3.97885E-06,3.6447E-05
1,7.41265E-05,4.24931E-06,4.48161E-05
1.05,7.42585E-05,4.68718E-06,5.24068E-05
1.1,7.43759E-05,5.39558E-06,5.86174E-05
1.15,7.4482E-05,6.53285E-06,6.33022E-05
1.2,7.45792E-05,8.32854E-06,6.66409E-05
1.25,7.46691E-05,1.10865E-05,6.89406E-05
1.3,7.47529E-05,1.51478E-05,7.05014E-05
1.35,7.48314E-05,2.07744E-05,7.15618E-05
1.4,7.49053E-05,2.79493E-05,7.22926E-05
1.45,7.49751E-05,3.6196E-05,7.28089E-05
1.5,7.50413E-05,4.46261E-05,7.3186E-05
1.55,7.51043E-05,5.22863E-05,7.34722E-05
1.6,7.51642E-05,5.85547E-05,7.36981E-05
1.65,7.52214E-05,6.32773E-05,7.38832E-05
1.7,7.52761E-05,6.66359E-05,7.404E-05
1.75,7.53285E-05,6.89433E-05,7.41766E-05
1.8,7.53787E-05,7.05053E-05,7.4298E-05
1.85,7.54269E-05,7.1564E-05,7.44079E-05
1.9,7.54732E-05,7.22922E-05,7.45086E-05
1.95,7.55178E-05,7.28061E-05,7.46017E-05
2,7.55608E-05,7.31812E-05,7.46885E-05
