vds,ciss_24_0
0,0.0458304
0.05,0.0448629
0.1,0.0438258
0.15,0.0427677
0.2,0.0417512
0.25,0.0408144
0.3,0.0399723
0.35,0.0392244
0.4,0.0385629
0.45,0.0379774
0.5,0.0374574
0.55,0.0369935
0.6,0.0365773
0.65,0.036202
0.7,0.0358617
0.75,0.0355517
0.8,0.0352679
0.85,0.035007
0.9,0.0347661
0.95,0.0345429
1,0.0343354
1.05,0.0341419
1.1,0.0339608
1.15,0.033791
1.2,0.0336313
1.25,0.0334807
1.3,0.0333385
1.35,0.0332039
1.4,0.0330763
1.45,0.032955
1.5,0.0328395
1.55,0.0327295
1.6,0.0326245
1.65,0.0325241
1.7,0.032428
1.75,0.0323359
1.8,0.0322476
1.85,0.0321627
1.9,0.0320811
1.95,0.0320026
2,0.0319269
