i(v_s_1_4),v(d_1_4)
0,0
1.38697E-05,0.2
1.39577E-05,0.3
1.3985E-05,0.4
1.39982E-05,0.5
1.40064E-05,0.6
1.40123E-05,0.7
1.40169E-05,0.8
1.40207E-05,0.9
1.4024E-05,1
1.40271E-05,1.1
1.40298E-05,1.2
1.40325E-05,1.3
1.40349E-05,1.4
1.40373E-05,1.5
1.40397E-05,1.6
