vds,crss_25_0
0,1.08528
0.05,1.07561
0.1,1.06492
0.15,1.05399
0.2,1.04348
0.25,1.03379
0.3,1.02509
0.35,1.01735
0.4,1.01051
0.45,1.00446
0.5,0.999084
0.55,0.994287
0.6,0.989983
0.65,0.986102
0.7,0.982584
0.75,0.979378
0.8,0.976444
0.85,0.973746
0.9,0.971255
0.95,0.968947
1,0.966802
1.05,0.964801
1.1,0.962928
1.15,0.961172
1.2,0.959521
1.25,0.957964
1.3,0.956494
1.35,0.955102
1.4,0.953782
1.45,0.952528
1.5,0.951334
1.55,0.950196
1.6,0.94911
1.65,0.948072
1.7,0.947079
1.75,0.946127
1.8,0.945213
1.85,0.944336
1.9,0.943492
1.95,0.94268
2,0.941898
