vgs,cgs_21_1
-2,8.99413E-05
-1.95,8.99429E-05
-1.8,8.99481E-05
-1.75,8.995E-05
-1.7,8.99519E-05
-1.65,8.9954E-05
-1.6,8.99561E-05
-1.55,8.99583E-05
-1.5,8.99606E-05
-1.45,8.99631E-05
-1.4,8.99656E-05
-1.35,8.99683E-05
-1.3,8.99712E-05
-1.25,8.99742E-05
-1.2,8.99774E-05
-1.15,8.99808E-05
-1.1,8.99844E-05
-1.05,8.99882E-05
-1,8.99924E-05
-0.95,8.99968E-05
-0.9,9.00015E-05
-0.85,9.00067E-05
-0.8,9.00122E-05
-0.75,9.00183E-05
-0.7,9.00249E-05
-0.65,9.00322E-05
-0.6,9.00402E-05
-0.55,9.00492E-05
-0.5,9.00592E-05
-0.45,9.00704E-05
-0.4,9.0083E-05
-0.35,9.00973E-05
-0.3,9.01136E-05
-0.25,9.01319E-05
-0.2,9.01524E-05
-0.15,9.01645E-05
-0.1,8.92569E-05
-0.05,8.83789E-05
1.20737E-15,8.75274E-05
0.05,8.66997E-05
0.1,8.58939E-05
0.15,8.51094E-05
0.2,8.43456E-05
0.25,8.36023E-05
0.3,8.28793E-05
0.35,8.2176E-05
0.4,8.1492E-05
0.45,8.08267E-05
0.5,8.01795E-05
0.55,7.95497E-05
0.6,7.89369E-05
0.65,7.83404E-05
0.7,7.77597E-05
0.75,7.71943E-05
0.8,7.66438E-05
0.85,7.61076E-05
0.9,7.55854E-05
0.95,7.50767E-05
1,7.45813E-05
1.05,7.40987E-05
1.1,7.36286E-05
1.15,7.31708E-05
1.2,7.2725E-05
1.25,7.22909E-05
1.3,7.18684E-05
1.35,7.14572E-05
1.4,7.10571E-05
1.45,7.0668E-05
1.5,7.02898E-05
1.55,6.99224E-05
1.6,6.95657E-05
1.65,6.92196E-05
1.7,6.88841E-05
1.75,6.85591E-05
1.8,6.82448E-05
1.85,6.79412E-05
1.9,6.76483E-05
1.95,6.73662E-05
2,6.7095E-05
