vds,ciss_24_0
0,1.96055
0.05,1.95089
0.1,1.94019
0.15,1.92926
0.2,1.91875
0.25,1.90907
0.3,1.90036
0.35,1.89263
0.4,1.88579
0.45,1.87973
0.5,1.87436
0.55,1.86956
0.6,1.86526
0.65,1.86138
0.7,1.85786
0.75,1.85465
0.8,1.85172
0.85,1.84902
0.9,1.84653
0.95,1.84422
1,1.84208
1.05,1.84007
1.1,1.8382
1.15,1.83645
1.2,1.8348
1.25,1.83324
1.3,1.83177
1.35,1.83038
1.4,1.82906
1.45,1.8278
1.5,1.82661
1.55,1.82547
1.6,1.82438
1.65,1.82335
1.7,1.82235
1.75,1.8214
1.8,1.82049
1.85,1.81961
1.9,1.81877
1.95,1.81795
2,1.81717
