i(v_s_1_4),v(d_1_4)
0,0
8.32208E-13,0.2
1.24831E-12,0.3
1.66442E-12,0.4
2.08052E-12,0.5
2.49662E-12,0.6
2.91273E-12,0.7
3.32883E-12,0.8
3.74493E-12,0.9
4.16104E-12,1
4.57714E-12,1.1
4.99325E-12,1.2
5.40935E-12,1.3
5.82545E-12,1.4
6.24156E-12,1.5
6.65766E-12,1.6
