 v-sweep         v(p_0_2)        i(v_meas_0_2)  
-2.00000000e-01 -2.00000000e-01 -2.08124990e-13 
-1.00000000e-01 -1.00000000e-01 -1.08071658e-13 
 0.00000000e+00  0.00000000e+00  7.07987492e-31 
 1.00000000e-01  1.00000000e-01  3.36073466e-13 
 2.00000000e-01  2.00000000e-01  5.37359737e-12 
 3.00000000e-01  3.00000000e-01  6.40844621e-11 
 4.00000000e-01  4.00000000e-01  4.52726538e-10 
 5.00000000e-01  5.00000000e-01  2.57741274e-09 
 6.00000000e-01  6.00000000e-01  1.39656067e-08 
 7.00000000e-01  7.00000000e-01  7.49936696e-08 
 8.00000000e-01  8.00000000e-01  4.02198547e-07 
 9.00000000e-01  9.00000000e-01  2.15709964e-06 
 1.00000000e+00  1.00000000e+00  1.15694451e-05 
 1.10000000e+00  1.10000000e+00  6.19324164e-05 
 1.20000000e+00  1.20000000e+00  3.28080887e-04 
 1.30000000e+00  1.30000000e+00  1.65099982e-03 
 1.40000000e+00  1.40000000e+00  6.87381567e-03 
 1.50000000e+00  1.50000000e+00  1.97404316e-02 
 1.60000000e+00  1.60000000e+00  3.98525649e-02 
 1.70000000e+00  1.70000000e+00  6.45144776e-02 
 1.80000000e+00  1.80000000e+00  9.18257060e-02 
 1.90000000e+00  1.90000000e+00  1.20707507e-01 
 2.00000000e+00  2.00000000e+00  1.50737589e-01 
 2.10000000e+00  2.10000000e+00  1.81506759e-01 
 2.20000000e+00  2.20000000e+00  2.12810909e-01 
 2.30000000e+00  2.30000000e+00  2.44526847e-01 
 2.40000000e+00  2.40000000e+00  2.76566467e-01 
 2.50000000e+00  2.50000000e+00  3.08866074e-01 
 2.60000000e+00  2.60000000e+00  3.41378711e-01 
 2.70000000e+00  2.70000000e+00  3.74068853e-01 
 2.80000000e+00  2.80000000e+00  4.06909024e-01 
 2.90000000e+00  2.90000000e+00  4.39877570e-01 
 3.00000000e+00  3.00000000e+00  4.72957142e-01 
 3.10000000e+00  3.10000000e+00  5.06133641e-01 
 3.20000000e+00  3.20000000e+00  5.39395458e-01 
 3.30000000e+00  3.30000000e+00  5.72732930e-01 
 3.40000000e+00  3.40000000e+00  6.06137929e-01 
 3.50000000e+00  3.50000000e+00  6.39603556e-01 
