Re,Mach,ta_u,ta_l,tb_u,tb_l,alpha_b,alpha_c,max_thickness,max_thickness_location,leading_edge_radius,trailing_edge_angle,max_curvature,alpha,cl,cd,cm,ld
1000000.0,0.2,0.1,0.1,0.1,0.1,1.0,-15.0,0.029754108263888163,0.25252525252525254,0.01703349272707039,1.0,304.33369985211937,-5,,,,
1000000.0,0.2,0.1,0.1,0.1,0.1,1.0,15.0,0.029753531519828146,0.25252525252525254,0.017035622357104527,1.0,304.5754327561759,-5,,,,
1000000.0,0.2,0.1,0.1,0.1,0.1,30.0,-15.0,0.033844398518778435,0.31313131313131315,0.017125835106850836,30.0,297.52858988193566,-5,,,,
1000000.0,0.2,0.1,0.1,0.1,0.1,30.0,15.0,0.03320741970630334,0.30303030303030304,0.017175845848979892,30.0,304.5754327561759,-5,,,,
1000000.0,0.2,0.1,0.1,0.1,2.0,1.0,-15.0,0.09586293113399603,0.38383838383838387,0.021362205522685657,1.0,304.33369985211937,-5,,,,
1000000.0,0.2,0.1,0.1,0.1,2.0,1.0,15.0,0.009089604210960117,0.020202020202020204,0.01643085463355056,1.0,359.97826426136726,-5,,,,
1000000.0,0.2,0.1,0.1,0.1,2.0,30.0,-15.0,0.10120047570207703,0.4040404040404041,0.02150829130301125,30.0,297.52858988193566,-5,,,,
1000000.0,0.2,0.1,0.1,0.1,2.0,30.0,15.0,0.009351131544703312,0.020202020202020204,0.01654456577705135,30.0,359.97826426136726,-5,,,,
1000000.0,0.2,0.1,0.1,2.0,0.1,1.0,-15.0,0.009607256316223615,0.020202020202020204,0.016409414237330416,1.0,345.26610942488844,-5,,,,
1000000.0,0.2,0.1,0.1,2.0,0.1,1.0,15.0,0.10054580425251533,0.38383838383838387,0.021696382141368927,1.0,304.5754327561759,-5,,,,
1000000.0,0.2,0.1,0.1,2.0,0.1,30.0,-15.0,0.10120047570207703,0.4040404040404041,0.021508291303011278,30.0,297.52858988193566,-5,,,,
1000000.0,0.2,0.1,0.1,2.0,0.1,30.0,15.0,0.22592550948967668,0.5050505050505051,0.0267586409873558,30.0,304.5754327561759,-5,,,,
1000000.0,0.2,0.1,0.1,2.0,2.0,1.0,-15.0,0.03212283438195471,0.13131313131313133,0.019612170566560012,1.0,345.26610942488844,-5,,,,
1000000.0,0.2,0.1,0.1,2.0,2.0,1.0,15.0,0.03208828739468285,0.14141414141414144,0.019824961773003275,1.0,359.97826426136726,-5,,,,
1000000.0,0.2,0.1,0.1,2.0,2.0,30.0,-15.0,0.16927956654903553,0.4141414141414142,0.02741453807406188,30.0,125.631260866639,-5,,,,
1000000.0,0.2,0.1,0.1,2.0,2.0,30.0,15.0,0.14746439398587827,0.5252525252525253,0.024462915004221746,30.0,359.97826426136726,-5,,,,
1000000.0,0.2,0.1,0.4,0.1,0.1,1.0,-15.0,0.07419758945261105,0.25252525252525254,0.024628129809577896,1.0,304.33369985211937,-5,,,,
1000000.0,0.2,0.1,0.4,0.1,0.1,1.0,15.0,0.07419701270855103,0.25252525252525254,0.024595795226163997,1.0,297.31244571245696,-5,,,,
1000000.0,0.2,0.1,0.4,0.1,0.1,30.0,-15.0,0.07804561162881488,0.27272727272727276,0.024809382350881898,30.0,297.52858988193566,-5,,,,
1000000.0,0.2,0.1,0.4,0.1,0.1,30.0,15.0,0.07746424538272371,0.27272727272727276,0.024783732155201462,30.0,292.11238280638963,-5,,,,
1000000.0,0.2,0.1,0.4,0.1,2.0,1.0,-15.0,0.12791387728899953,0.2828282828282829,0.03709777360984533,1.0,304.33369985211937,-5,,,,
