name,value
a0,0.7577700628306139
a1,0.0575263617456288
a2,0.15317188305743484
acde,1.0196066693798385
ags,0.7978125889004615
bin_lketa,0.598032836204074
bin_pketa,0.5132965892690419
bin_ppclm,0.3462509734215207
bin_prdsw,0.34219117340170646
bin_pvsat,0.647080412006596
bin_wk3,0.3185555649626041
bin_wk3b,0.6402941659075825
bin_wketa,0.5402089148904854
cf,9.327976198312953e-11
cgdl,9.951368510491277e-11
cgdo,1.0718689672612767e-10
ckappas,1.6858565224849427
clc,2.0547632223315435e-07
cle,0.5909875054303972
dlc,-8.725817963845483e-08
drout,1.1999248955012392
dsub,0.7982272170585686
dvt0,13.086500771762617
dvt0w,9.55975644153875
dvt1,0.8810819495051729
dvt1w,3077490.756304298
dvt2,-0.01657332603405301
dvt2w,-0.0029558775622404027
dwg,3.275611108363898e-08
eta0,0.27267688774887744
etab,-0.28532677031318077
k1,0.5225892417939054
k2,-0.013008747882189892
k3,46.6079468653796
k3b,2.288590200560485
keta,-0.03081225471882905
lint,-2.0004619406543383e-08
ll,3.970007481550299e-14
lwl,-2.920756990012475e-20
moin,14.045732530006724
ndep,9.365754803957186e+16
nfactor,0.9797307310313214
ngate,1.0161217109916113e+20
noff,0.9969400314034617
pclm,1.3094503620616503e-05
pdiblc1,0.0001882564382507013
pdiblc2,0.08235469576626589
pdiblcb,-0.06701229138590525
pvag,4.325361665941173
rdsw,553.0877361568971
toxp,5.153577920269314e-09
u0,661.2735369939435
ua,8.325446762776643e-10
ub,1.7541364964166904e-20
uc,-1.3861395973367313e-10
voff,-0.08475906246557414
voffcv,-0.003409399727686113
voffl,-1.7532378921437535e-09
vsat,360027.006546667
vth0,0.5077767389094889
w0,8.34632605245962e-07
wint,5.5453032655334645e-08
ww,-5.381901185115928e-14
wwl,-3.053759124881595e-20
xpart,0.18644376772187726
