name,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,member_10,member_11,member_12,member_13,member_14,member_15,member_16,member_17,member_18,member_19,member_20,member_21,member_22,member_23,member_24,member_25,member_26,member_27,member_28,member_29,member_30,member_31,member_32,member_33,member_34,member_35,member_36,member_37,member_38,member_39,member_40,member_41,member_42,member_43,member_44,member_45,member_46,member_47,member_48,member_49,member_50
a0,0.7723387823282717,1.0174144880168212,0.7383126611894973,0.814531139430407,0.7105767311826953,0.8512926337576603,0.70833394320595,0.8162478423397937,0.6358615003052792,0.6181250284433414,0.9002363701251396,0.4365926399561535,0.4678423436102348,0.6987958205497498,0.7016936679978883,0.5778066694900766,0.5852332789352332,0.6761295081210427,1.069290205628729,0.4141296171345623,0.9096121957489509,0.9378574134325806,0.652688556614376,0.6993333483078383,0.9182098095554124,0.9434549586143802,0.7347883201343719,0.4305851206688617,0.5117173539805417,0.6964519920641685,0.43707404205443334,0.720461264599637,0.48058464311932236,0.6673986960889173,0.9088370596021723,0.540898577853806,0.82933686323786,0.6955358301130621,0.6838064467471479,0.6334842395144297,0.7372838955760491,0.4127490269134013,0.7129200776268153,0.41318581148341527,0.7381338447379074,0.7577700628306139,0.6524830625536302,0.6329241542898766,0.9058738408883067,0.8413143946948805
a1,0.04431240991219517,0.03136718286194382,0.04383583309813304,0.03772926383055084,0.025322893795189247,0.03031792957815013,0.07704688593041537,0.03774018206190345,0.028172420942338485,0.041401043775591236,0.04569964351180158,0.07124458714288226,0.06978268999768011,0.07616406524681,0.051956948924409545,0.046665452634140216,0.06367256607911408,0.046996539456075154,0.06290901777833029,0.046681679800701315,0.0884190630071445,0.01577456373188089,0.05697944081612643,0.075951708484701,0.04426974415453375,0.019967592811197435,0.056175074570487094,0.051261294235554145,0.0801504187973377,0.041964265984914505,0.05146753434251342,0.049187664826183024,0.06481336533059653,0.06859752274789886,0.040640701157704906,0.04256421799379264,0.017221249888198457,0.07112983263858277,0.045675867063451,0.05288058864696781,0.04429845487528681,0.0629729972955034,0.0657206204248216,0.06671251357780919,0.04129130576338298,0.0575263617456288,0.023130554508162093,0.0680642320661171,0.04090769126181225,0.05005907628711839
a2,0.19215457674068567,0.17925856059220302,0.1526813115634955,0.23681688028822875,0.23260258950574914,0.16895799857470375,0.2633025999989246,0.2068444512184895,0.19827264892899985,0.13548959070415761,0.29963822986474986,0.18784195708002374,0.11097408183253724,0.21793470803424989,0.1912777590214137,0.19809839639136925,0.18775270104300495,0.1892989531562876,0.21827017749044825,0.15879130487027582,0.18133986679479192,0.24344802404501006,0.17283664530976392,0.13552599232973372,0.1565156619169031,0.25446558560456617,0.2513254492275659,0.14998630395363935,0.06412843561282135,0.17181877008930613,0.1542678654011804,0.20139080417060787,0.13409705333877958,0.18768156133447572,0.1809754242407346,0.16704242532471772,0.19965452265379127,0.11613116000711289,0.1428279152787708,0.23548772609894245,0.16629214090655683,0.09597696293802878,0.17468543639782147,0.15486182555751823,0.22988396390012242,0.15317188305743484,0.26364788759285424,0.13852775929022823,0.29393662922678643,0.20663956477231185
acde,0.9787812315180137,1.033561917432546,0.9195171132697645,0.9713929198830901,0.9396989843613414,0.876710528669854,0.9792337512733489,0.9015834680389697,0.9785722081743863,1.0312803315892505,1.0243614618547185,0.9419230003500739,0.9466429437872309,0.9325571252133668,0.9538582685458218,1.0768663650798804,0.9583594455563303,0.9686132803332916,0.9119487843562654,0.9147413047508931,1.0248002149931956,0.9085861660619717,1.1008109304668965,1.014573947814149,1.0261829196378076,0.9432324709178191,1.0167338480334454,0.9463907421910632,1.0430838734903174,0.9757290515217368,0.93429600705974,1.0176858463814757,1.0258995333334848,1.0514714780111227,0.8669863543808408,0.9161731141079327,0.9823907234433044,0.9522013940003385,1.0190638117311042,1.0841428442900152,0.9372592745513878,1.0907055680476694,1.015831545584827,0.9390179794485934,0.9671252868177412,1.0196066693798385,0.9316925679700817,1.10521084043636,0.9980044859010193,0.9237342711565769
ags,0.7167448828149788,0.7253712026281856,0.7019716628057014,0.5852710821674602,0.7134159988741999,0.6347203025749704,0.8585715142905764,0.7196943726859074,0.6943664454411317,0.7285247350842319,0.5999681623366006,0.7723521539786107,0.6650512721988242,0.687235944960162,0.7596253432720589,0.6904570022241644,0.6999189475535075,0.7751699303011259,0.6288406266032651,0.5708502667601472,0.8785464004297898,0.8196521868024185,0.48717132915910266,0.6875729365226577,0.7961446908311169,0.6260526049685232,0.6606688217109383,0.7821449280611248,0.7524734050650315,0.5316099244089887,0.6496321077743509,0.7573364741345991,0.8995500222452404,0.5680430846956054,0.6112861388560951,0.5582539628782288,0.6608556384784722,0.7088280562919747,0.7370944694681378,0.535076313679494,0.7875291418096242,0.6219295005527885,0.6678330687975222,0.7756335213698433,0.6321763067233178,0.7978125889004615,0.6940379033883297,0.5104384533729893,0.7552426806145778,0.9263070299160762
bin_lketa,0.3990766020668151,0.5918272496134268,0.15282535320540652,0.5655435889845138,0.8504560482344838,0.231983692326861,0.1821255509515649,0.5473004502642084,0.5326380810168972,0.011521692949150644,0.22151423268522646,0.7940462886245863,0.38388351969445866,0.6398561014452099,0.5246510161507664,0.6445223567818215,0.6515474447259662,0.4272500190731537,0.8691739881597954,0.06917474439908378,0.40873755216870633,0.760070682290607,0.8602322677056766,0.305061793170508,0.7030915387568637,0.3589278452667777,0.6922684118945887,0.9075869431120769,0.5905419109784363,0.24504970743819487,0.5379250827124346,0.2077582806841273,0.7636538844532762,0.23024634356472393,0.4466524441107117,0.15746849177221728,0.16211120767705356,0.7655378202784747,0.9163548432343349,0.6412131246088678,0.17802438252380937,0.6208681663468493,0.6709842681002278,0.05011502396418049,0.45175701350608505,0.598032836204074,0.47726759663453694,0.9976792978884687,0.07916657283441667,0.261430700668534
bin_pketa,0.6037523216701695,0.2882805213850156,0.32840408127679654,0.46768179631910584,0.24828678737265544,0.12003750727188658,0.6664068382114819,0.6213743141570472,0.47195580504291507,0.28334257700265036,0.3583816641981889,0.890963767018273,0.8871095256236493,0.010284625425144793,0.4190777122766209,0.6562174229662187,0.35463950523412746,0.4716999555538628,0.1913451515380991,0.5928553834011199,0.8490150310480499,0.4345833416259788,0.5332768349908329,0.7092032145002777,0.6743960090614177,0.14667480053912044,0.5292907778037169,0.46571470726717157,0.9535280819189962,0.38414913228177466,0.3338940491113073,0.6522934822059228,0.29203288587208587,0.7303840775733536,0.10612500857302512,0.26855079745478666,0.18227304296995928,0.7745347534430446,0.6244456289405914,0.10335637643202784,0.4283397704644084,0.43723825638072017,0.8919060300739168,0.5017402079124058,0.27392308304736596,0.5132965892690419,0.1544393062727465,0.6253887416496721,0.5929415717335474,0.21624889060063984
bin_ppclm,0.21840295060547169,0.09006205834363798,0.3099158065875445,0.143126433390251,0.150324810051376,0.7072920295675718,0.29568269149166804,0.042679478144747464,0.16583414605685232,0.214995457365951,0.22306830862705052,0.4285676333990976,0.09692622928682812,0.6806376165328165,0.7695314954041754,0.29657180696201824,0.876150985477026,0.1402515236656549,0.5764713958305543,0.34996358664516103,0.1460637616481256,0.14051958414877858,0.3763617701618142,0.2545151674161944,0.15913497866366424,0.699106482810539,0.4531342452258808,0.4415249794645641,0.04698931643045304,0.225408479371269,0.6616126668592234,0.21098188462739131,0.41605604504749966,0.07277847987642518,0.48899696019256855,0.6281975913615365,0.5157140087966259,0.27623835026531235,0.5280003290158228,0.06545339480704039,0.3526288573426785,0.29438084324520064,0.15908206522775006,0.27283653262899293,0.6416623787285877,0.3462509734215207,0.18089722930646943,0.38736324889550205,0.08091546933446518,0.2097107092719974
bin_prdsw,0.3804394347871778,0.48653609556753985,0.8041905194346346,0.49684002796582055,0.4809860424433696,0.552433050614844,0.200355980415073,0.7315760583009335,0.7538584930495196,0.6061735248944742,0.09609374731924744,0.1639876389687619,0.7048372871540982,0.3124930492423263,0.27796363513586847,0.7977244423639657,0.22894301921607538,0.40956080771901926,0.7933267916645198,0.5874937178444378,0.7386475398934989,0.022043212665047024,0.46753005908193884,0.9998193945510158,0.8703462219467921,0.4067350644111779,0.4841543186593798,0.5176491664216656,0.5351313625454414,0.5021259382128203,0.4043375432176123,0.5403345225239854,0.3030140857131467,0.17723675457018878,0.7918469975556198,0.658992534527536,0.20202062158927325,0.5834607016894456,0.8841284654441518,0.035824109265545086,0.14184276505699028,0.2877999606273936,0.6077301345327104,0.19192929261727784,0.4149822898197875,0.34219117340170646,0.5340358178578758,0.5519970131168734,0.5070147226825579,0.07140028119511933
bin_pvsat,0.7115309908843487,0.5863585827981328,0.3686935017848929,0.8215784639421628,0.7366789612119955,0.20991888717000082,0.4584208618581999,0.9649149509684566,0.9983144505652414,0.9689574514322132,0.6617298702576256,0.8851040097127554,0.9734384458821613,0.9288222640776208,0.5305155463159272,0.6415824836882184,0.007543242153309954,0.7545429985645563,0.46899465348890873,0.9548892800857889,0.8884622066607974,0.4829237067810125,0.40809295915303867,0.9347609855933869,0.4637282463670097,0.42528100815597875,0.5553885046069013,0.8096619407627648,0.6713561479536461,0.8021147161031799,0.558491227539287,0.9655987479660628,0.7731641972187243,0.6965237132819154,0.42052372986380593,0.5059353426809938,0.29717296564027146,0.8989580689536175,0.3263984880013686,0.5873530743725714,0.9058085667682657,0.9702777030664832,0.7885072849596593,0.9420302730251542,0.13332969511550313,0.647080412006596,0.9460576254207178,0.5260726283122986,0.8232681284768232,0.21028226474640355
