name,min,default,max,scale,mode
ta_u,0.05,0.28,10,linear,variable
ta_l,0.05,0.28,10,linear,variable
tb_u,0.05,1.21,10,linear,variable
tb_l,0.05,1.21,10,linear,variable
alpha_b,1,5,30,linear,variable
alpha_c,-15,15,15,linear,variable
