freq,magnitude,phase
1.0,16.79081904360001,179.83512940859873
1.02329299,16.79081735749747,179.83128910115107
1.04712855,16.79081557530885,179.82735934270266
1.07151931,16.790813725934452,179.823338050164
1.0964782,16.790811775610585,179.81922309192655
1.12201845,16.79080974103272,179.81501228597688
1.14815362,16.790807613954428,179.81070339920356
1.17489755,16.790805386332227,179.80629414789547
1.20226443,16.790803050336216,179.80178219442462
1.23026877,16.79080059835947,179.7971651472451
1.25892541,16.790798035598314,179.79244055704712
1.28824955,16.79079535492406,179.7876059203215
1.31825674,16.79079254946513,179.7826586738355
1.34896288,16.79078961261888,179.77759619380285
1.38038426,16.790786525494322,179.77241579721127
1.41253754,16.790783307200044,179.76711473815695
1.44543977,16.790779926880685,179.76169020471633
1.47910839,16.790776391706565,179.75613932291643
1.51356125,16.79077269661947,179.75045914877649
1.54881662,16.790768811776765,179.74464667204268
1.58489319,16.790764757981414,179.73869881007906
1.6218101,16.790760506149198,179.73261241074698
1.65958691,16.790756052739855,179.72638424714188
1.69824365,16.79075139463818,179.72001101769942
1.73780083,16.790746516606436,179.71348934329254
1.77827941,16.7907414038715,179.7068157684361
1.81970086,16.79073604215174,179.69998675299288
1.86208714,16.790730442810506,179.69299867886272
1.90546072,16.790724580043012,179.68584784117752
1.9498446,16.790718428605892,179.67853044788154
1.99526231,16.790712001544993,179.6710426228122
2.04173794,16.79070526225047,179.66338039498984
2.08929613,16.79069821245969,179.65553970354011
2.13796209,16.79069081687883,179.64751639231238
2.18776162,16.79068307862611,179.63930620785905
2.23872114,16.790674988988048,179.63090479995984
2.29086765,16.790666502321955,179.62230771383463
2.34422882,16.790657624067272,179.61351039386457
2.39883292,16.790648322807527,179.60450817651895
2.45470892,16.790638580582048,179.59529629084003
2.51188643,16.79062839292954,179.5858698543577
2.57039578,16.79061770608743,179.5762238709168
2.63026799,16.790606530156357,179.56635322857514
2.6915348,16.790594826029064,179.55625269666226
2.7542287,16.79058256828673,179.54591692130552
2.81838293,16.79056972011214,179.53534042415015
2.8840315,16.79055628361576,179.52451760336635
2.95120923,16.790542211923,179.51344272065924
3.01995172,16.79052747206642,179.5021099086869
3.09029543,16.790512032488458,179.49051316127247
3.16227766,16.79049587567066,179.47864633497554
3.23593657,16.79047894793497,179.46650313944775
3.31131121,16.790461234918368,179.45407714355358
3.38844156,16.790442673678566,179.44136176167765
3.4673685,16.7904232533164,179.42835025830013
3.54813389,16.79040290194545,179.4150357374241
3.63078055,16.790381599890836,179.40141114738424
3.71535229,16.790359291805345,179.38746927004317
3.80189396,16.79033593703962,179.37320271912523
3.89045145,16.790311472031533,179.3586039375134
3.98107171,16.790285860689178,179.3436651933518
4.07380278,16.790259044225426,179.32837857386332
4.16869383,16.79023096641203,179.31273598129042
4.26579519,16.790201561122572,179.2967291326781
4.36515832,16.790170765041175,179.28034954833265
4.46683592,16.790138530345086,179.26358855782786
4.5708819,16.79010476201655,179.24643728220826
