name,value
a0,1.728204214728691
a1,0.035949242914447434
a2,0.5333552448139237
acde,1.2633006661866815
ags,0.6874787568491676
bin_lketa,0.6715442802511996
bin_pketa,0.5533772674146692
bin_ppclm,0.7661957385162628
bin_prdsw,0.4487242365958289
bin_pvsat,0.5138796057474389
bin_wk3,0.8173000076048564
bin_wk3b,0.6893993736650343
bin_wketa,0.18312249912600057
cf,5.6399194180086875e-11
cgdl,3.382515479630811e-10
cgdo,7.562323819623451e-11
ckappas,14.214261330627894
clc,1.630095845185873e-08
cle,0.6691753093440669
dlc,4.386792752446404e-09
drout,1.7301381899819552
dsub,0.6136711483809151
dvt0,8.451088649532432
dvt0w,4.165525555389436
dvt1,0.7774107757466915
dvt1w,675863.871020986
dvt2,-0.057600445902185916
dvt2w,-0.040152772047695254
dwg,5.254073963971552e-08
eta0,0.264094555280887
etab,-0.3723282824140531
k1,0.5698235568100062
k2,-0.014521961074504534
k3,-56.382631994596
k3b,9.64666801581619
keta,-0.052817114478497865
lint,1.093246623096879e-08
ll,1.2357745276174152e-14
lwl,-3.387525479354938e-20
moin,13.948090499943639
ndep,4.8621857078093184e+17
nfactor,1.6744582734875781
ngate,2.938892261177328e+21
noff,1.2124618416362631
pclm,7.067114258256901e-08
pdiblc1,0.0007442546178261509
pdiblc2,0.00041099268689941354
pdiblcb,-0.11397318225410669
pvag,0.3272428205404827
rdsw,528.093387316359
toxp,4.576380242111857e-09
u0,403.80738437252757
ua,5.080107005775268e-10
ub,9.68326074781908e-20
uc,-5.977473114557917e-10
voff,-0.07171044200138135
voffcv,0.256517886315489
voffl,-1.9367651831344994e-08
vsat,73187.42847064356
vth0,0.4196847761428204
w0,1.0393772245537362e-09
wint,7.064037166643398e-08
ww,-5.877598751299486e-14
wwl,5.307276296265267e-20
xpart,0.6014098529218483
